	100_TF_25875	101_WF_25876	102_WF_25877	103_WF_25878	110_WM_25880	111_TM_25881	112_TM_25882	113_TF_25883	120_WM_37906	130_WF_37916	131_TF_37917	132_TF_37918	133_TF_37919	140_TM_37922	141_TM_37923	142_WM_37925	143_WM_37926	150_WF_37927	151_WM_37929	152_WF_37930	160_TM_37933	200_WF_25887	201_WF_25888	202_WF_25889	203_TM_25890	210_TM_25900	211_WF_37901	212_TF_37902	220_WF_37913	230_WM_37915
LOC102075435	22.08827985	22.47771399	22.73769244	22.10783849	21.70567518	21.65884001	21.99797856	22.30844243	21.42133235	21.50135121	21.66051024	21.28250474	21.04689403	22.09817846	22.12487835	22.06230863	22.10692056	22.11649648	22.10213174	22.06409384	22.18025573	21.82992696	22.18398809	22.14092802	22.31108358	22.09712407	21.75697499	21.79257013	22.00219023	21.91969627
LOC102062966	21.61278217	22.08568814	22.34864294	21.58598732	21.32242928	21.37808127	21.6838214	21.90936659	21.34681642	21.472479	21.56882105	21.06021157	20.94218948	21.71070632	21.93296987	21.69185706	21.73633002	21.60692441	21.67158959	21.66742121	21.73493411	21.33064253	21.82994616	21.64174736	21.95126422	21.69553337	21.40559318	21.88007822	21.86716278	21.73405319
LOC102062611	21.24403728	21.5179499	21.80182469	21.23009429	20.91962375	21.30966894	21.17876584	21.49731135	21.07168502	21.13912552	21.23145186	20.79195941	20.53083505	21.31013088	21.53923664	21.17311224	21.25311517	21.22546243	21.14361243	21.24590295	21.39004017	21.21457282	21.71814165	21.32363615	21.52552474	21.45055994	21.30356792	21.8233188	21.36061869	21.20654133
LOC102060532	18.25609055	19.31800165	19.54282996	19.27469119	19.56191337	20.44401361	20.48082554	20.7681575	18.63678492	19.85734432	19.31483308	19.30988873	18.76727428	19.92193441	20.71427145	19.32709176	19.87319616	18.29451489	18.05950456	19.44830539	19.70772282	19.37250958	20.87493453	19.78134468	19.84986827	19.60443842	19.21041177	20.23882941	18.98650923	18.57866921
LOC102075186	18.26916042	18.50994708	18.66777903	18.55971054	18.57867451	18.31844881	18.38881408	18.47466407	18.28811856	18.15222102	18.16562558	18.00700651	18.08938058	18.12638862	18.21384749	18.08398188	18.22720261	17.98267757	18.33932762	18.36074185	18.52539868	18.17937059	18.66779187	18.48960835	18.48990481	18.57893589	18.54583713	18.74362073	18.42747616	18.48909231
CA2	18.1487701	18.15593448	18.67397266	17.93994956	18.02190594	18.39625645	18.64303127	18.16734898	17.8661327	17.36922611	17.54127612	17.72616732	17.82108191	18.00675915	18.26438601	18.14448223	18.28233214	18.00504278	17.91481127	18.1826951	18.98370309	18.50603611	19.34405065	18.90013021	18.60464634	18.21935709	18.47052479	18.59812673	18.68408046	18.05647697
FTH1	16.86168558	17.48679778	17.579463	17.2989478	16.89664756	17.34070909	17.17730081	17.51538054	17.3620111	17.32979653	17.3858482	17.10953592	17.0584089	17.37922515	17.32025162	16.83491158	17.16052059	17.31611192	17.32383682	17.48878347	17.10080641	17.08509585	17.59854734	17.31340574	17.04447316	17.12774249	17.28638687	17.6691536	17.44776989	17.23376335
TFRC	16.65857988	16.49485143	16.51562237	16.57581231	17.06322886	17.11929502	16.86653899	17.07362649	16.42888622	16.19331475	16.80781453	16.36301879	17.03560524	16.99625089	16.64693895	16.56722554	16.09487732	16.90194091	17.1287776	16.77926975	17.06470905	16.78664778	17.3913356	17.43670502	17.26720313	16.46411193	17.23282926	16.88063272	17.12274357	16.79744933
SKP1	16.23637296	16.24885343	16.54058546	16.28474617	16.38541055	16.31248573	16.35758287	16.66792789	15.64024556	15.67111774	15.78585205	15.93304309	15.45987303	16.03897686	16.4946662	16.11511206	16.19253522	16.14954286	16.4436557	15.92341166	16.39564342	16.63693048	16.20350629	16.76801534	16.61862103	16.44154244	16.20734388	15.9816707	16.49019629	16.57604657
AK2	16.14202253	16.12931664	16.41018442	16.4436922	16.08271989	16.09910683	16.36877039	16.09978697	15.8199881	16.11820068	16.05575109	16.15251587	15.80068365	16.51204247	16.52738205	16.21770105	16.21780018	16.16784989	16.51262344	16.17280641	16.39226769	16.06564242	16.04214273	16.45442682	16.13582377	16.54899659	16.50884929	16.48787797	16.08991564	16.26825479
